seed_index,free_running_period_hours,order_parameter
0,24.231970090238647,0.9994154473555543
1,24.21264097324042,0.9989590763276278
2,24.111813201853344,0.9999036507503514
3,24.189315383186145,0.9992365430934447
4,24.422719482451303,0.999913886256197
5,24.157301740753606,0.9996670532291596
6,24.265637708862204,0.9997290812797361
7,24.45315104699001,0.9999085487340151
8,24.354536275118292,0.9996936588898485
9,23.9907281704709,0.9993679919247913
10,24.030451870617302,0.9996095190711041
11,24.366042022970955,0.9994518796597996
12,24.258009389518595,0.9998067856182453
13,24.05781995484725,0.9997266938970606
14,24.177941606291057,0.9994961996095503
15,24.460292468321175,0.9996560717178441
